"Notes"	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Oregon"	"41"	478	3393941	14
	"1999"	"1999"	"Pennsylvania"	"42"	1284	12263805	10
	"1999"	"1999"	"Rhode Island"	"44"	96	1040402	9
	"1999"	"1999"	"South Carolina"	"45"	418	3974682	11
	"1999"	"1999"	"South Dakota"	"46"	103	750412	14
	"1999"	"1999"	"Tennessee"	"47"	726	5638706	13
	"1999"	"1999"	"Texas"	"48"	2005	20558220	10
	"1999"	"1999"	"Utah"	"49"	282	2203482	13
	"1999"	"1999"	"Vermont"	"50"	63	604683	10
	"1999"	"1999"	"Virginia"	"51"	791	7000174	11
	"1999"	"1999"	"Washington"	"53"	816	5842564	14
	"1999"	"1999"	"West Virginia"	"54"	229	1811799	13
	"1999"	"1999"	"Wisconsin"	"55"	593	5332666	11
	"1999"	"1999"	"Wyoming"	"56"	98	491780	20
	"2000"	"2000"	"Alabama"	"01"	583	4447100	13
	"2000"	"2000"	"Alaska"	"02"	137	626932	22
	"2000"	"2000"	"Arizona"	"04"	784	5130632	15
	"2000"	"2000"	"Arkansas"	"05"	349	2673400	13
	"2000"	"2000"	"California"	"06"	2969	33871648	9
	"2000"	"2000"	"Colorado"	"08"	613	4301261	14
	"2000"	"2000"	"Connecticut"	"09"	304	3405565	9
	"2000"	"2000"	"Delaware"	"10"	82	783600	10
	"2000"	"2000"	"District of Columbia"	"11"	23	572059	4
	"2000"	"2000"	"Florida"	"12"	2086	15982378	13
	"2000"	"2000"	"Georgia"	"13"	847	8186453	10
	"2000"	"2000"	"Hawaii"	"15"	137	1211537	11
	"2000"	"2000"	"Idaho"	"16"	167	1293953	13
	"2000"	"2000"	"Illinois"	"17"	1003	12419293	8
	"2000"	"2000"	"Indiana"	"18"	683	6080485	11
	"2000"	"2000"	"Iowa"	"19"	289	2926324	10
	"2000"	"2000"	"Kansas"	"20"	325	2688418	12
	"2000"	"2000"	"Kentucky"	"21"	521	4041769	13
	"2000"	"2000"	"Louisiana"	"22"	468	4468976	10
	"2000"	"2000"	"Maine"	"23"	154	1274923	12
	"2000"	"2000"	"Maryland"	"24"	474	5296486	9
	"2000"	"2000"	"Massachusetts"	"25"	387	6349097	6
	"2000"	"2000"	"Michigan"	"26"	974	9938444	10
	"2000"	"2000"	"Minnesota"	"27"	440	4919479	9
	"2000"	"2000"	"Mississippi"	"28"	294	2844658	10
	"2000"	"2000"	"Missouri"	"29"	699	5595211	12
	"2000"	"2000"	"Montana"	"30"	158	902195	18
	"2000"	"2000"	"Nebraska"	"31"	193	1711263	11
	"2000"	"2000"	"Nevada"	"32"	400	1998257	20
	"2000"	"2000"	"New Hampshire"	"33"	131	1235786	11
	"2000"	"2000"	"New Jersey"	"34"	560	8414350	7
	"2000"	"2000"	"New Mexico"	"35"	327	1819046	18
	"2000"	"2000"	"New York"	"36"	1132	18976457	6
	"2000"	"2000"	"North Carolina"	"37"	971	8049313	12
	"2000"	"2000"	"North Dakota"	"38"	68	642200	11
	"2000"	"2000"	"Ohio"	"39"	1088	11353140	10
	"2000"	"2000"	"Oklahoma"	"40"	497	3450654	14
	"2000"	"2000"	"Oregon"	"41"	493	3421399	14
	"2000"	"2000"	"Pennsylvania"	"42"	1356	12281054	11
	"2000"	"2000"	"Rhode Island"	"44"	75	1048319	7
	"2000"	"2000"	"South Carolina"	"45"	443	4012012	11
	"2000"	"2000"	"South Dakota"	"46"	95	754844	13
	"2000"	"2000"	"Tennessee"	"47"	730	5689283	13
	"2000"	"2000"	"Texas"	"48"	2053	20851820	10
	"2000"	"2000"	"Utah"	"49"	298	2233169	13
	"2000"	"2000"	"Vermont"	"50"	77	608827	13
	"2000"	"2000"	"Virginia"	"51"	768	7078515	11
	"2000"	"2000"	"Washington"	"53"	727	5894121	12
	"2000"	"2000"	"West Virginia"	"54"	245	1808344	14
	"2000"	"2000"	"Wisconsin"	"55"	590	5363675	11
	"2000"	"2000"	"Wyoming"	"56"	83	493782	17
	"2001"	"2001"	"Alabama"	"01"	512	4467634	11
	"2001"	"2001"	"Alaska"	"02"	102	633714	16
	"2001"	"2001"	"Arizona"	"04"	767	5273477	15
	"2001"	"2001"	"Arkansas"	"05"	382	2691571	14
	"2001"	"2001"	"California"	"06"	2831	34479458	8
	"2001"	"2001"	"Colorado"	"08"	722	4425687	16
	"2001"	"2001"	"Connecticut"	"09"	283	3432835	8
	"2001"	"2001"	"Delaware"	"10"	108	795699	14
	"2001"	"2001"	"District of Columbia"	"11"	40	574504	7
	"2001"	"2001"	"Florida"	"12"	2314	16356966	14
	"2001"	"2001"	"Georgia"	"13"	935	8377038	11
	"2001"	"2001"	"Hawaii"	"15"	136	1225948	11
	"2001"	"2001"	"Idaho"	"16"	210	1319962	16
	"2001"	"2001"	"Illinois"	"17"	1139	12488445	9
	"2001"	"2001"	"Indiana"	"18"	715	6127760	12
	"2001"	"2001"	"Iowa"	"19"	304	2931997	10
	"2001"	"2001"	"Kansas"	"20"	293	2702162	11
	"2001"	"2001"	"Kentucky"	"21"	495	4068132	12
	"2001"	"2001"	"Louisiana"	"22"	493	4477875	11
	"2001"	"2001"	"Maine"	"23"	161	1285692	13
	"2001"	"2001"	"Maryland"	"24"	454	5374691	8
	"2001"	"2001"	"Massachusetts"	"25"	426	6397634	7
	"2001"	"2001"	"Michigan"	"26"	1051	9991120	11
	"2001"	"2001"	"Minnesota"	"27"	480	4982796	10
	"2001"	"2001"	"Mississippi"	"28"	328	2852994	11
	"2001"	"2001"	"Missouri"	"29"	725	5641142	13
	"2001"	"2001"	"Montana"	"30"	175	906961	19
	"2001"	"2001"	"Nebraska"	"31"	187	1719836	11
	"2001"	"2001"	"Nevada"	"32"	387	2098399	18
	"2001"	"2001"	"New Hampshire"	"33"	167	1255517	13
	"2001"	"2001"	"New Jersey"	"34"	588	8492671	7
	"2001"	"2001"	"New Mexico"	"35"	362	1831690	20
	"2001"	"2001"	"New York"	"36"	1253	19082838	7
	"2001"	"2001"	"North Carolina"	"37"	997	8210122	12
	"2001"	"2001"	"North Dakota"	"38"	79	639062	12
	"2001"	"2001"	"Ohio"	"39"	1219	11387404	11
	"2001"	"2001"	"Oklahoma"	"40"	515	3467100	15
	"2001"	"2001"	"Oregon"	"41"	505	3467937	15
	"2001"	"2001"	"Pennsylvania"	"42"	1276	12298970	10
	"2001"	"2001"	"Rhode Island"	"44"	88	1057142	8
	"2001"	"2001"	"South Carolina"	"45"	467	4064995	11
	"2001"	"2001"	"South Dakota"	"46"	105	757972	14
	"2001"	"2001"	"Tennessee"	"47"	711	5750789	12
	"2001"	"2001"	"Texas"	"48"	2225	21319622	10
	"2001"	"2001"	"Utah"	"49"	321	2283715	14
	"2001"	"2001"	"Vermont"	"50"	72	612223	12
	"2001"	"2001"	"Virginia"	"51"	797	7198362	11
	"2001"	"2001"	"Washington"	"53"	712	5985722	12
	"2001"	"2001"	"West Virginia"	"54"	286	1801481	16
	"2001"	"2001"	"Wisconsin"	"55"	639	5406835	12
